season,division,matchday,date,time,home_team,away_team,score
1983-1984,1,25,2/26/84,NULL,Valencia,Cádiz CF,1:1
1983-1984,1,25,2/26/84,NULL,Real Betis,UD Salamanca,1:0
1983-1984,1,25,2/26/84,NULL,Athletic,RCD Mallorca,4:0
1983-1984,1,25,2/26/84,NULL,CD Málaga,Real Zaragoza,0:1
1983-1984,1,25,2/26/84,NULL,Sporting Gijón,Sevilla FC,1:0
1983-1984,1,25,2/26/84,NULL,Real Valladolid,Atlético Madrid,1:2
1983-1984,1,25,2/26/84,NULL,Real Murcia,CA Osasuna,4:0
1983-1984,1,26,3/3/84,NULL,Barcelona,Real Betis,3:1
1983-1984,1,26,3/3/84,NULL,Cádiz CF,Real Sociedad,1:1
1983-1984,1,26,3/4/84,NULL,Athletic,Espanyol,1:1
1983-1984,1,26,3/4/84,NULL,RCD Mallorca,Real Murcia,1:1
1983-1984,1,26,3/4/84,NULL,UD Salamanca,CD Málaga,1:0
1983-1984,1,26,3/4/84,NULL,Sevilla FC,Real Valladolid,2:1
1983-1984,1,26,3/4/84,NULL,Real Zaragoza,Valencia,0:3
1983-1984,1,26,3/4/84,NULL,Atlético Madrid,Real Madrid,1:0
1983-1984,1,26,3/4/84,NULL,CA Osasuna,Sporting Gijón,1:0
1983-1984,1,27,3/10/84,NULL,Real Sociedad,Real Zaragoza,2:1
1983-1984,1,27,3/11/84,NULL,Real Betis,Atlético Madrid,1:0
1983-1984,1,27,3/11/84,NULL,Espanyol,Cádiz CF,1:1
1983-1984,1,27,3/11/84,NULL,Valencia,UD Salamanca,1:0
1983-1984,1,27,3/11/84,NULL,Sporting Gijón,RCD Mallorca,0:3
1983-1984,1,27,3/11/84,NULL,Real Madrid,Sevilla FC,2:2
1983-1984,1,27,3/11/84,NULL,Real Murcia,Athletic,0:1
1983-1984,1,27,3/11/84,NULL,CD Málaga,Barcelona,0:1
1983-1984,1,27,3/11/84,NULL,Real Valladolid,CA Osasuna,0:1
1983-1984,1,28,3/17/84,NULL,Barcelona,Valencia,0:0
1983-1984,1,28,3/18/84,NULL,RCD Mallorca,Real Valladolid,1:1
1983-1984,1,28,3/18/84,NULL,UD Salamanca,Real Sociedad,1:1
1983-1984,1,28,3/18/84,NULL,Real Zaragoza,Cádiz CF,1:2
1983-1984,1,28,3/18/84,NULL,Atlético Madrid,CD Málaga,3:1
1983-1984,1,28,3/18/84,NULL,Real Murcia,Espanyol,2:0
1983-1984,1,28,3/18/84,NULL,CA Osasuna,Real Madrid,1:1
1983-1984,1,28,3/18/84,NULL,Athletic,Sporting Gijón,1:0
1983-1984,1,28,3/18/84,NULL,Sevilla FC,Real Betis,2:1
1983-1984,1,29,3/24/84,NULL,Valencia,Atlético Madrid,1:2
1983-1984,1,29,3/25/84,NULL,CD Málaga,Sevilla FC,1:0
1983-1984,1,29,3/25/84,NULL,Cádiz CF,UD Salamanca,2:0
1983-1984,1,29,3/25/84,NULL,Real Madrid,RCD Mallorca,2:0
1983-1984,1,29,3/25/84,NULL,Sporting Gijón,Real Murcia,1:1
1983-1984,1,29,3/25/84,NULL,Espanyol,Real Zaragoza,0:0
1983-1984,1,29,3/25/84,NULL,Real Valladolid,Athletic,0:0
1983-1984,1,29,3/25/84,NULL,Real Sociedad,Barcelona,0:1
1983-1984,1,29,3/25/84,NULL,Real Betis,CA Osasuna,1:0
1983-1984,1,30,3/31/84,NULL,Barcelona,Cádiz CF,4:1
1983-1984,1,30,4/1/84,NULL,UD Salamanca,Real Zaragoza,1:1
1983-1984,1,30,4/1/84,NULL,Atlético Madrid,Real Sociedad,2:1
1983-1984,1,30,4/1/84,NULL,RCD Mallorca,Real Betis,0:1
1983-1984,1,30,4/1/84,NULL,CA Osasuna,CD Málaga,0:0
1983-1984,1,30,4/1/84,NULL,Sporting Gijón,Espanyol,0:1
1983-1984,1,30,4/1/84,NULL,Athletic,Real Madrid,2:1
1983-1984,1,30,4/1/84,NULL,Sevilla FC,Valencia,2:0
1983-1984,1,30,4/1/84,NULL,Real Murcia,Real Valladolid,1:2
1983-1984,1,31,4/7/84,NULL,Real Zaragoza,Barcelona,0:1
1983-1984,1,31,4/8/84,NULL,Real Sociedad,Sevilla FC,1:0
1983-1984,1,31,4/8/84,NULL,Espanyol,UD Salamanca,3:0
1983-1984,1,31,4/8/84,NULL,CD Málaga,RCD Mallorca,2:0
1983-1984,1,31,4/8/84,NULL,Real Madrid,Real Murcia,3:2
1983-1984,1,31,4/8/84,NULL,Real Valladolid,Sporting Gijón,2:0
1983-1984,1,31,4/8/84,NULL,Cádiz CF,Atlético Madrid,3:1
1983-1984,1,31,4/8/84,NULL,Real Betis,Athletic,2:0
1983-1984,1,31,4/8/84,NULL,Valencia,CA Osasuna,2:0
1983-1984,1,32,4/14/84,NULL,Athletic,CD Málaga,2:1
1983-1984,1,32,4/14/84,NULL,RCD Mallorca,Valencia,1:2
1983-1984,1,32,4/14/84,NULL,Sporting Gijón,Real Madrid,1:2
1983-1984,1,32,4/15/84,NULL,CA Osasuna,Real Sociedad,0:3
1983-1984,1,32,4/15/84,NULL,Atlético Madrid,Real Zaragoza,3:3
1983-1984,1,32,4/15/84,NULL,Real Murcia,Real Betis,1:0
1983-1984,1,32,4/15/84,NULL,Sevilla FC,Cádiz CF,2:1
1983-1984,1,32,4/15/84,NULL,Barcelona,UD Salamanca,2:0
1983-1984,1,32,4/15/84,NULL,Real Valladolid,Espanyol,0:0
1983-1984,1,33,4/21/84,NULL,CD Málaga,Real Murcia,1:0
1983-1984,1,33,4/22/84,NULL,Real Betis,Sporting Gijón,3:0
1983-1984,1,33,4/22/84,NULL,Real Sociedad,RCD Mallorca,1:0
1983-1984,1,33,4/22/84,NULL,Real Madrid,Real Valladolid,2:1
1983-1984,1,33,4/22/84,NULL,Real Zaragoza,Sevilla FC,1:1
1983-1984,1,33,4/22/84,NULL,UD Salamanca,Atlético Madrid,2:2
1983-1984,1,33,4/22/84,NULL,Barcelona,Espanyol,5:2
1983-1984,1,33,4/22/84,NULL,Valencia,Athletic,1:2
1983-1984,1,33,4/22/84,NULL,Cádiz CF,CA Osasuna,0:0
1983-1984,1,34,4/29/84,NULL,RCD Mallorca,Cádiz CF,1:1
1983-1984,1,34,4/29/84,NULL,Espanyol,Real Madrid,1:2
1983-1984,1,34,4/29/84,NULL,Atlético Madrid,Barcelona,1:2
1983-1984,1,34,4/29/84,NULL,Real Murcia,Valencia,3:3
1983-1984,1,34,4/29/84,NULL,Athletic,Real Sociedad,2:1
1983-1984,1,34,4/29/84,NULL,CA Osasuna,Real Zaragoza,1:4
1983-1984,1,34,4/29/84,NULL,Real Valladolid,Real Betis,1:0
1983-1984,1,34,4/29/84,NULL,Sporting Gijón,CD Málaga,2:0
1983-1984,1,34,4/29/84,NULL,Sevilla FC,UD Salamanca,3:2
1984-1985,1,1,9/1/84,NULL,Espanyol,Atlético Madrid,0:0
1984-1985,1,1,9/1/84,NULL,Athletic,Real Valladolid,1:1
1984-1985,1,1,9/1/84,NULL,Elche CF,Valencia,0:1
1984-1985,1,1,9/2/84,NULL,Real Madrid,Barcelona,0:3
1984-1985,1,1,9/2/84,NULL,CD Málaga,Sevilla FC,0:1
1984-1985,1,1,9/2/84,NULL,Real Betis,Real Sociedad,0:0
1984-1985,1,1,9/2/84,NULL,Racing,Sporting Gijón,1:0
1984-1985,1,1,9/2/84,NULL,Real Zaragoza,Hércules CF,0:1
1984-1985,1,1,9/2/84,NULL,CA Osasuna,Real Murcia,2:0
1984-1985,1,2,9/9/84,NULL,Sevilla FC,Athletic,3:0
1984-1985,1,2,9/9/84,NULL,Atlético Madrid,CA Osasuna,3:0
1984-1985,1,2,9/9/84,NULL,Hércules CF,Elche CF,1:0
1984-1985,1,2,9/9/84,NULL,Real Sociedad,CD Málaga,0:1
1984-1985,1,2,9/9/84,NULL,Real Valladolid,Racing,1:0
1984-1985,1,2,9/9/84,NULL,Real Murcia,Real Betis,0:1
1984-1985,1,2,9/9/84,NULL,Valencia,Espanyol,5:1
1984-1985,1,2,9/9/84,NULL,Sporting Gijón,Real Madrid,1:1
1984-1985,1,2,9/9/84,NULL,Barcelona,Real Zaragoza,4:0
1984-1985,1,3,11/1/84,NULL,Real Betis,Atlético Madrid,0:1
1984-1985,1,3,11/1/84,NULL,Real Madrid,Real Valladolid,2:0
1984-1985,1,3,11/1/84,NULL,Real Sociedad,Real Murcia,4:0
1984-1985,1,3,11/1/84,NULL,Espanyol,Hércules CF,2:2
1984-1985,1,3,11/1/84,NULL,Elche CF,Barcelona,0:0
1984-1985,1,3,11/1/84,NULL,Racing,Sevilla FC,1:0
1984-1985,1,3,11/1/84,NULL,CA Osasuna,Valencia,2:0
1984-1985,1,3,11/1/84,NULL,CD Málaga,Athletic,0:1
1984-1985,1,3,11/1/84,NULL,Real Zaragoza,Sporting Gijón,2:0
1984-1985,1,4,9/23/84,NULL,Athletic,Racing,1:0
1984-1985,1,4,9/23/84,NULL,Barcelona,Espanyol,1:0
1984-1985,1,4,9/23/84,NULL,Hércules CF,CA Osasuna,1:1
1984-1985,1,4,9/23/84,NULL,Sporting Gijón,Elche CF,2:0
1984-1985,1,4,9/23/84,NULL,Real Murcia,CD Málaga,4:0
1984-1985,1,4,9/23/84,NULL,Sevilla FC,Real Madrid,1:0
1984-1985,1,4,9/23/84,NULL,Atlético Madrid,Real Sociedad,2:1
1984-1985,1,4,9/23/84,NULL,Real Valladolid,Real Zaragoza,1:1
1984-1985,1,4,9/23/84,NULL,Valencia,Real Betis,0:1
1984-1985,1,5,9/29/84,NULL,Real Sociedad,Hércules CF,4:0
1984-1985,1,5,9/29/84,NULL,Real Betis,Barcelona,1:2
1984-1985,1,5,9/30/84,NULL,CD Málaga,Atlético Madrid,1:0
1984-1985,1,5,9/30/84,NULL,Espanyol,Real Valladolid,2:2
1984-1985,1,5,9/30/84,NULL,Real Madrid,Racing,3:0
1984-1985,1,5,9/30/84,NULL,Elche CF,Sevilla FC,0:0
1984-1985,1,5,9/30/84,NULL,Real Murcia,Valencia,0:3
1984-1985,1,5,9/30/84,NULL,Real Zaragoza,Athletic,1:0
1984-1985,1,5,9/30/84,NULL,CA Osasuna,Sporting Gijón,0:0
1984-1985,1,6,10/7/84,NULL,Sporting Gijón,Espanyol,1:0
1984-1985,1,6,10/7/84,NULL,Racing,CD Málaga,2:0
1984-1985,1,6,10/7/84,NULL,Atlético Madrid,Real Murcia,2:1
1984-1985,1,6,10/7/84,NULL,Barcelona,CA Osasuna,2:0
1984-1985,1,6,10/7/84,NULL,Real Valladolid,Elche CF,1:2
1984-1985,1,6,10/7/84,NULL,Athletic,Real Madrid,0:0
1984-1985,1,6,10/7/84,NULL,Valencia,Real Sociedad,2:0
1984-1985,1,6,10/7/84,NULL,Sevilla FC,Real Zaragoza,2:1
1984-1985,1,6,10/7/84,NULL,Hércules CF,Real Betis,2:2
1984-1985,1,7,10/12/84,NULL,CD Málaga,Valencia,0:0
1984-1985,1,7,10/12/84,NULL,Atlético Madrid,Hércules CF,1:0
1984-1985,1,7,10/12/84,NULL,Real Betis,Real Valladolid,1:1
1984-1985,1,7,10/12/84,NULL,Elche CF,Racing,2:0
1984-1985,1,7,10/12/84,NULL,CA Osasuna,Sevilla FC,4:0
1984-1985,1,7,10/12/84,NULL,Espanyol,Athletic,1:0
1984-1985,1,7,10/12/84,NULL,Real Murcia,Barcelona,1:1
1984-1985,1,7,10/12/84,NULL,Real Zaragoza,Real Madrid,0:2
1984-1985,1,7,10/12/84,NULL,Real Sociedad,Sporting Gijón,0:0
1984-1985,1,8,10/20/84,NULL,Real Madrid,CD Málaga,0:0
1984-1985,1,8,10/20/84,NULL,Valencia,Atlético Madrid,0:0
1984-1985,1,8,10/21/84,NULL,Barcelona,Real Sociedad,1:1
1984-1985,1,8,10/21/84,NULL,Real Valladolid,CA Osasuna,2:3
1984-1985,1,8,10/21/84,NULL,Athletic,Elche CF,0:0
1984-1985,1,8,10/21/84,NULL,Hércules CF,Real Murcia,2:1
1984-1985,1,8,10/21/84,NULL,Sevilla FC,Espanyol,0:0
1984-1985,1,8,10/21/84,NULL,Sporting Gijón,Real Betis,1:1
1984-1985,1,8,10/21/84,NULL,Racing,Real Zaragoza,1:1
1984-1985,1,9,10/28/84,NULL,Real Betis,Sevilla FC,1:2
1984-1985,1,9,10/28/84,NULL,Valencia,Hércules CF,3:0
1984-1985,1,9,10/28/84,NULL,Real Sociedad,Real Valladolid,0:0
1984-1985,1,9,10/28/84,NULL,Espanyol,Racing,5:0
1984-1985,1,9,10/28/84,NULL,CD Málaga,Real Zaragoza,2:0
1984-1985,1,9,10/28/84,NULL,CA Osasuna,Athletic,1:2
1984-1985,1,9,10/28/84,NULL,Atlético Madrid,Barcelona,1:2
1984-1985,1,9,10/28/84,NULL,Elche CF,Real Madrid,0:1
1984-1985,1,9,10/28/84,NULL,Real Murcia,Sporting Gijón,0:3
1984-1985,1,10,11/4/84,NULL,Sevilla FC,Real Sociedad,0:1
1984-1985,1,10,11/4/84,NULL,Real Valladolid,Real Murcia,1:1
1984-1985,1,10,11/4/84,NULL,Racing,CA Osasuna,5:0
1984-1985,1,10,11/4/84,NULL,Real Zaragoza,Elche CF,1:0
1984-1985,1,10,11/4/84,NULL,Athletic,Real Betis,1:1
1984-1985,1,10,11/4/84,NULL,Sporting Gijón,Atlético Madrid,2:1
1984-1985,1,10,11/4/84,NULL,Barcelona,Valencia,1:1
1984-1985,1,10,11/4/84,NULL,Real Madrid,Espanyol,4:1
1984-1985,1,10,11/4/84,NULL,Hércules CF,CD Málaga,1:1
1984-1985,1,11,11/17/84,NULL,Real Sociedad,Racing,0:0
1984-1985,1,11,11/18/84,NULL,Hércules CF,Sporting Gijón,1:1
1984-1985,1,11,11/18/84,NULL,Real Murcia,Athletic,0:0
1984-1985,1,11,11/18/84,NULL,Espanyol,Elche CF,1:0
1984-1985,1,11,11/18/84,NULL,Valencia,Real Valladolid,0:0
1984-1985,1,11,11/18/84,NULL,CD Málaga,Barcelona,1:2
1984-1985,1,11,11/18/84,NULL,Real Betis,Real Madrid,4:1
1984-1985,1,11,11/18/84,NULL,CA Osasuna,Real Zaragoza,0:1
1984-1985,1,11,11/18/84,NULL,Atlético Madrid,Sevilla FC,1:1
1984-1985,1,12,11/21/84,NULL,Athletic,Real Sociedad,1:1
1984-1985,1,12,11/21/84,NULL,Sevilla FC,Real Murcia,0:0
1984-1985,1,12,11/21/84,NULL,Barcelona,Hércules CF,2:0
1984-1985,1,12,11/21/84,NULL,Real Madrid,CA Osasuna,1:0
1984-1985,1,12,11/21/84,NULL,Racing,Real Betis,1:1
1984-1985,1,12,11/21/84,NULL,Real Valladolid,Atlético Madrid,2:2
1984-1985,1,12,11/21/84,NULL,Sporting Gijón,Valencia,1:1
1984-1985,1,12,11/21/84,NULL,Real Zaragoza,Espanyol,1:1
1984-1985,1,12,11/21/84,NULL,Elche CF,CD Málaga,1:1
1984-1985,1,13,11/25/84,NULL,CD Málaga,Sporting Gijón,0:0
1984-1985,1,13,11/25/84,NULL,Real Sociedad,Real Zaragoza,2:1
1984-1985,1,13,11/25/84,NULL,Atlético Madrid,Racing,2:1
1984-1985,1,13,11/25/84,NULL,Real Betis,Elche CF,2:0
1984-1985,1,13,11/25/84,NULL,CA Osasuna,Espanyol,5:0
1984-1985,1,13,11/25/84,NULL,Valencia,Athletic,1:1
1984-1985,1,13,11/25/84,NULL,Real Murcia,Real Madrid,0:1
1984-1985,1,13,11/25/84,NULL,Hércules CF,Sevilla FC,0:0
1984-1985,1,13,11/25/84,NULL,Barcelona,Real Valladolid,4:2
1984-1985,1,14,12/2/84,NULL,Real Madrid,Real Sociedad,1:1
1984-1985,1,14,12/2/84,NULL,Racing,Real Murcia,2:2
1984-1985,1,14,12/2/84,NULL,Real Valladolid,Hércules CF,3:1
1984-1985,1,14,12/2/84,NULL,Elche CF,CA Osasuna,0:0
1984-1985,1,14,12/2/84,NULL,Real Zaragoza,Real Betis,0:0
1984-1985,1,14,12/2/84,NULL,Athletic,Atlético Madrid,2:2
1984-1985,1,14,12/2/84,NULL,Sevilla FC,Valencia,0:0
1984-1985,1,14,12/2/84,NULL,Sporting Gijón,Barcelona,2:2
1984-1985,1,14,12/2/84,NULL,Espanyol,CD Málaga,0:0
1984-1985,1,15,12/8/84,NULL,Real Sociedad,Elche CF,2:0
1984-1985,1,15,12/8/84,NULL,Barcelona,Sevilla FC,3:1
1984-1985,1,15,12/8/84,NULL,Real Betis,Espanyol,3:1
1984-1985,1,15,12/8/84,NULL,Atlético Madrid,Real Madrid,0:1
1984-1985,1,15,12/8/84,NULL,Real Murcia,Real Zaragoza,0:3
1984-1985,1,15,12/9/84,NULL,Hércules CF,Athletic,0:0
1984-1985,1,15,12/9/84,NULL,Valencia,Racing,0:0
1984-1985,1,15,12/9/84,NULL,CD Málaga,CA Osasuna,2:1
1984-1985,1,15,12/9/84,NULL,Sporting Gijón,Real Valladolid,1:3
1984-1985,1,16,12/16/84,NULL,Sevilla FC,Sporting Gijón,0:1
1984-1985,1,16,12/16/84,NULL,Elche CF,Real Murcia,0:0
1984-1985,1,16,12/16/84,NULL,CD Málaga,Real Valladolid,3:1
1984-1985,1,16,12/16/84,NULL,CA Osasuna,Real Betis,1:2
1984-1985,1,16,12/16/84,NULL,Espanyol,Real Sociedad,1:3
1984-1985,1,16,12/16/84,NULL,Real Zaragoza,Atlético Madrid,1:1
1984-1985,1,16,12/16/84,NULL,Real Madrid,Valencia,1:0
1984-1985,1,16,12/16/84,NULL,Athletic,Barcelona,1:0
1984-1985,1,16,12/16/84,NULL,Racing,Hércules CF,2:0
1984-1985,1,17,12/23/84,NULL,Real Sociedad,CA Osasuna,0:2
1984-1985,1,17,12/23/84,NULL,Hércules CF,Real Madrid,2:2
1984-1985,1,17,12/23/84,NULL,Sporting Gijón,Athletic,1:1
1984-1985,1,17,12/23/84,NULL,Real Murcia,Espanyol,1:0
1984-1985,1,17,12/23/84,NULL,Real Valladolid,Sevilla FC,2:3
1984-1985,1,17,12/23/84,NULL,Valencia,Real Zaragoza,4:1
1984-1985,1,17,12/23/84,NULL,Barcelona,Racing,2:0
1984-1985,1,17,12/23/84,NULL,Real Betis,CD Málaga,0:1
1984-1985,1,17,12/23/84,NULL,Atlético Madrid,Elche CF,1:0
1984-1985,1,18,12/30/84,NULL,Real Valladolid,Athletic,0:0
1984-1985,1,18,12/30/84,NULL,Atlético Madrid,Espanyol,2:2
1984-1985,1,18,12/30/84,NULL,Hércules CF,Real Zaragoza,0:0
1984-1985,1,18,12/30/84,NULL,Real Sociedad,Real Betis,0:1
1984-1985,1,18,12/30/84,NULL,Sporting Gijón,Racing,0:0
1984-1985,1,18,12/30/84,NULL,Sevilla FC,CD Málaga,2:0
1984-1985,1,18,12/30/84,NULL,Valencia,Elche CF,0:0
1984-1985,1,18,12/30/84,NULL,Real Murcia,CA Osasuna,0:0
1984-1985,1,18,12/30/84,NULL,Barcelona,Real Madrid,3:2
1984-1985,1,19,1/6/85,NULL,Espanyol,Valencia,3:2
1984-1985,1,19,1/6/85,NULL,Real Betis,Real Murcia,0:2
1984-1985,1,19,1/6/85,NULL,Elche CF,Hércules CF,2:0
1984-1985,1,19,1/6/85,NULL,Racing,Real Valladolid,1:0
1984-1985,1,19,1/6/85,NULL,Real Madrid,Sporting Gijón,0:0
1984-1985,1,19,1/6/85,NULL,Athletic,Sevilla FC,0:0
1984-1985,1,19,1/6/85,NULL,Real Zaragoza,Barcelona,2:4
1984-1985,1,19,1/6/85,NULL,CD Málaga,Real Sociedad,1:3
1984-1985,1,19,3/20/85,NULL,CA Osasuna,Atlético Madrid,0:0
1984-1985,1,20,1/13/85,NULL,Sevilla FC,Racing,0:0
1984-1985,1,20,1/13/85,NULL,Hércules CF,Espanyol,0:0
1984-1985,1,20,1/13/85,NULL,Valencia,CA Osasuna,0:0
1984-1985,1,20,1/13/85,NULL,Barcelona,Elche CF,4:0
1984-1985,1,20,1/13/85,NULL,Athletic,CD Málaga,4:1
1984-1985,1,20,1/13/85,NULL,Real Valladolid,Real Madrid,1:1
1984-1985,1,20,1/13/85,NULL,Real Murcia,Real Sociedad,2:2
1984-1985,1,20,1/13/85,NULL,Sporting Gijón,Real Zaragoza,0:2
1984-1985,1,20,1/13/85,NULL,Atlético Madrid,Real Betis,2:0
1984-1985,1,21,1/19/85,NULL,Real Sociedad,Atlético Madrid,0:4
1984-1985,1,21,1/20/85,NULL,Real Madrid,Sevilla FC,1:2
1984-1985,1,21,1/20/85,NULL,CD Málaga,Real Murcia,0:0
1984-1985,1,21,1/20/85,NULL,CA Osasuna,Hércules CF,2:1
1984-1985,1,21,1/20/85,NULL,Elche CF,Sporting Gijón,0:0
1984-1985,1,21,1/20/85,NULL,Real Betis,Valencia,1:3
1984-1985,1,21,1/20/85,NULL,Racing,Athletic,1:0
1984-1985,1,21,1/20/85,NULL,Espanyol,Barcelona,0:0
1984-1985,1,21,1/20/85,NULL,Real Zaragoza,Real Valladolid,1:1
1984-1985,1,22,1/27/85,NULL,Real Valladolid,Espanyol,1:1
1984-1985,1,22,1/27/85,NULL,Valencia,Real Murcia,1:1
1984-1985,1,22,1/27/85,NULL,Sporting Gijón,CA Osasuna,1:0
1984-1985,1,22,1/27/85,NULL,Sevilla FC,Elche CF,1:1
1984-1985,1,22,1/27/85,NULL,Atlético Madrid,CD Málaga,3:0
1984-1985,1,22,1/27/85,NULL,Hércules CF,Real Sociedad,0:0
1984-1985,1,22,1/27/85,NULL,Athletic,Real Zaragoza,0:3
1984-1985,1,22,1/27/85,NULL,Racing,Real Madrid,0:0
1984-1985,1,22,1/27/85,NULL,Barcelona,Real Betis,4:0
1984-1985,1,23,2/3/85,NULL,Real Murcia,Atlético Madrid,0:1
1984-1985,1,23,2/3/85,NULL,Real Betis,Hércules CF,1:0
1984-1985,1,23,2/3/85,NULL,Elche CF,Real Valladolid,1:1
1984-1985,1,23,2/3/85,NULL,CD Málaga,Racing,2:0
1984-1985,1,23,2/3/85,NULL,Real Zaragoza,Sevilla FC,4:1
1984-1985,1,23,2/3/85,NULL,Real Sociedad,Valencia,4:1
1984-1985,1,23,2/3/85,NULL,Real Madrid,Athletic,2:2
1984-1985,1,23,2/3/85,NULL,CA Osasuna,Barcelona,1:2
1984-1985,1,23,2/3/85,NULL,Espanyol,Sporting Gijón,2:2
1984-1985,1,24,2/10/85,NULL,Real Madrid,Real Zaragoza,1:2
1984-1985,1,24,2/10/85,NULL,Sevilla FC,CA Osasuna,1:2
1984-1985,1,24,2/10/85,NULL,Racing,Elche CF,2:0
1984-1985,1,24,2/10/85,NULL,Barcelona,Real Murcia,6:0
1984-1985,1,24,2/10/85,NULL,Sporting Gijón,Real Sociedad,1:0
1984-1985,1,24,2/10/85,NULL,Hércules CF,Atlético Madrid,1:3
1984-1985,1,24,2/10/85,NULL,Athletic,Espanyol,2:1
1984-1985,1,24,2/10/85,NULL,Valencia,CD Málaga,1:1
1984-1985,1,24,2/10/85,NULL,Real Valladolid,Real Betis,3:1
1984-1985,1,25,2/17/85,NULL,Atlético Madrid,Valencia,2:3
1984-1985,1,25,2/17/85,NULL,Real Murcia,Hércules CF,0:2
1984-1985,1,25,2/17/85,NULL,CA Osasuna,Real Valladolid,3:0
1984-1985,1,25,2/17/85,NULL,Real Zaragoza,Racing,0:0
1984-1985,1,25,2/17/85,NULL,Espanyol,Sevilla FC,1:0
1984-1985,1,25,2/17/85,NULL,Elche CF,Athletic,1:0
1984-1985,1,25,2/17/85,NULL,Real Sociedad,Barcelona,0:0
1984-1985,1,25,2/17/85,NULL,CD Málaga,Real Madrid,1:1
1984-1985,1,25,2/17/85,NULL,Real Betis,Sporting Gijón,1:2
1984-1985,1,26,2/20/85,NULL,Real Valladolid,Real Sociedad,1:1
1984-1985,1,26,2/20/85,NULL,Sporting Gijón,Real Murcia,1:0
1984-1985,1,26,2/20/85,NULL,Athletic,CA Osasuna,5:0
1984-1985,1,26,2/20/85,NULL,Real Madrid,Elche CF,6:1
1984-1985,1,26,2/20/85,NULL,Sevilla FC,Real Betis,1:0
1984-1985,1,26,2/20/85,NULL,Barcelona,Atlético Madrid,2:2
1984-1985,1,26,2/20/85,NULL,Hércules CF,Valencia,2:0
1984-1985,1,26,2/20/85,NULL,Racing,Espanyol,1:3
1984-1985,1,26,2/20/85,NULL,Real Zaragoza,CD Málaga,0:0
1984-1985,1,27,3/3/85,NULL,Real Sociedad,Sevilla FC,5:1
1984-1985,1,27,3/3/85,NULL,CD Málaga,Hércules CF,1:1
1984-1985,1,27,3/3/85,NULL,Real Murcia,Real Valladolid,1:2
1984-1985,1,27,3/3/85,NULL,CA Osasuna,Racing,0:0
1984-1985,1,27,3/3/85,NULL,Elche CF,Real Zaragoza,0:0
1984-1985,1,27,3/3/85,NULL,Real Betis,Athletic,0:2
1984-1985,1,27,3/3/85,NULL,Valencia,Barcelona,2:5
1984-1985,1,27,3/3/85,NULL,Espanyol,Real Madrid,2:0
1984-1985,1,27,3/3/85,NULL,Atlético Madrid,Sporting Gijón,0:0
1984-1985,1,28,3/9/85,NULL,Racing,Real Sociedad,1:0
1984-1985,1,28,3/9/85,NULL,Athletic,Real Murcia,1:0
1984-1985,1,28,3/9/85,NULL,Sporting Gijón,Hércules CF,4:0
1984-1985,1,28,3/10/85,NULL,Real Madrid,Real Betis,3:2
1984-1985,1,28,3/10/85,NULL,Elche CF,Espanyol,0:3
1984-1985,1,28,3/10/85,NULL,Real Zaragoza,CA Osasuna,1:2
1984-1985,1,28,3/10/85,NULL,Barcelona,CD Málaga,1:0
1984-1985,1,28,3/10/85,NULL,Sevilla FC,Atlético Madrid,2:4
1984-1985,1,28,3/10/85,NULL,Real Valladolid,Valencia,1:0
1984-1985,1,29,3/17/85,NULL,Real Murcia,Sevilla FC,2:0
1984-1985,1,29,3/17/85,NULL,CD Málaga,Elche CF,0:0
1984-1985,1,29,3/17/85,NULL,Atlético Madrid,Real Valladolid,2:0
1984-1985,1,29,3/17/85,NULL,Real Betis,Racing,1:2
1984-1985,1,29,3/17/85,NULL,Espanyol,Real Zaragoza,3:2
1984-1985,1,29,3/17/85,NULL,Real Sociedad,Athletic,1:2
1984-1985,1,29,3/17/85,NULL,Hércules CF,Barcelona,1:0
1984-1985,1,29,3/17/85,NULL,CA Osasuna,Real Madrid,1:0
1984-1985,1,29,3/17/85,NULL,Valencia,Sporting Gijón,0:2
1984-1985,1,30,3/24/85,NULL,Sporting Gijón,CD Málaga,2:0
1984-1985,1,30,3/24/85,NULL,Elche CF,Real Betis,2:1
1984-1985,1,30,3/24/85,NULL,Espanyol,CA Osasuna,1:0
1984-1985,1,30,3/24/85,NULL,Real Madrid,Real Murcia,5:0
1984-1985,1,30,3/24/85,NULL,Racing,Atlético Madrid,1:2
1984-1985,1,30,3/24/85,NULL,Athletic,Valencia,3:2
1984-1985,1,30,3/24/85,NULL,Real Valladolid,Barcelona,1:2
1984-1985,1,30,3/24/85,NULL,Real Zaragoza,Real Sociedad,1:2
1984-1985,1,30,3/24/85,NULL,Sevilla FC,Hércules CF,2:0
1984-1985,1,31,3/30/85,NULL,Barcelona,Sporting Gijón,2:0
1984-1985,1,31,3/30/85,NULL,Valencia,Sevilla FC,0:0
1984-1985,1,31,3/30/85,NULL,CD Málaga,Espanyol,1:1
1984-1985,1,31,3/30/85,NULL,Real Sociedad,Real Madrid,0:3
1984-1985,1,31,3/31/85,NULL,CA Osasuna,Elche CF,2:2
1984-1985,1,31,3/31/85,NULL,Hércules CF,Real Valladolid,2:1
1984-1985,1,31,3/31/85,NULL,Real Murcia,Racing,3:1
1984-1985,1,31,3/31/85,NULL,Atlético Madrid,Athletic,0:0
